    | Name                                                 | Type             | Params
Epoch 2:  83%|████████▎ | 124/150 [00:28<00:06,  4.29it/s, loss=0.687, v_num=3l99]















Epoch 3:  89%|████████▊ | 133/150 [00:29<00:03,  4.50it/s, loss=0.679, v_num=3l99]














Epoch 4:  81%|████████▏ | 122/150 [00:28<00:06,  4.28it/s, loss=0.66, v_num=3l99]















Epoch 5:  83%|████████▎ | 125/150 [00:28<00:05,  4.33it/s, loss=0.646, v_num=3l99]















Epoch 6:  87%|████████▋ | 131/150 [00:29<00:04,  4.42it/s, loss=0.65, v_num=3l99]















Epoch 7:  89%|████████▊ | 133/150 [00:29<00:03,  4.46it/s, loss=0.645, v_num=3l99]














Epoch 8:  80%|████████  | 120/150 [00:28<00:07,  4.25it/s, loss=0.648, v_num=3l99]















Epoch 9:  85%|████████▍ | 127/150 [00:29<00:05,  4.35it/s, loss=0.645, v_num=3l99]















Epoch 10:  86%|████████▌ | 129/150 [00:29<00:04,  4.39it/s, loss=0.646, v_num=3l99]















Epoch 11:  91%|█████████ | 136/150 [00:30<00:03,  4.51it/s, loss=0.646, v_num=3l99]















Epoch 12:  92%|█████████▏| 138/150 [00:30<00:02,  4.56it/s, loss=0.643, v_num=3l99]














Epoch 13:  84%|████████▍ | 126/150 [00:29<00:05,  4.34it/s, loss=0.647, v_num=3l99]















Epoch 14:  88%|████████▊ | 132/150 [00:29<00:04,  4.44it/s, loss=0.646, v_num=3l99]















Epoch 15:  90%|█████████ | 135/150 [00:29<00:03,  4.52it/s, loss=0.641, v_num=3l99]














Epoch 16:  81%|████████▏ | 122/150 [00:28<00:06,  4.26it/s, loss=0.646, v_num=3l99]















Epoch 17:  86%|████████▌ | 129/150 [00:29<00:04,  4.40it/s, loss=0.649, v_num=3l99]















Epoch 18:  87%|████████▋ | 131/150 [00:29<00:04,  4.42it/s, loss=0.648, v_num=3l99]















Epoch 19:  92%|█████████▏| 138/150 [00:30<00:02,  4.56it/s, loss=0.644, v_num=3l99]














Epoch 20:  80%|████████  | 120/150 [00:28<00:07,  4.24it/s, loss=0.646, v_num=3l99]















Epoch 21:  85%|████████▍ | 127/150 [00:29<00:05,  4.35it/s, loss=0.648, v_num=3l99]















Epoch 22:  89%|████████▉ | 134/150 [00:29<00:03,  4.49it/s, loss=0.644, v_num=3l99]















Epoch 23:  91%|█████████ | 136/150 [00:30<00:03,  4.52it/s, loss=0.643, v_num=3l99]














Epoch 24:  82%|████████▏ | 123/150 [00:28<00:06,  4.28it/s, loss=0.641, v_num=3l99]















Epoch 25:  84%|████████▍ | 126/150 [00:29<00:05,  4.34it/s, loss=0.639, v_num=3l99]















Epoch 26:  87%|████████▋ | 131/150 [00:29<00:04,  4.42it/s, loss=0.642, v_num=3l99]














Epoch 27:  80%|████████  | 120/150 [00:28<00:07,  4.25it/s, loss=0.641, v_num=3l99]















Epoch 28:  81%|████████▏ | 122/150 [00:28<00:06,  4.26it/s, loss=0.641, v_num=3l99]















Epoch 29:  85%|████████▌ | 128/150 [00:29<00:05,  4.36it/s, loss=0.641, v_num=3l99]















Epoch 30:  86%|████████▌ | 129/150 [00:29<00:04,  4.38it/s, loss=0.633, v_num=3l99]















Epoch 31:  90%|█████████ | 135/150 [00:30<00:03,  4.49it/s, loss=0.633, v_num=3l99]














Epoch 32:  81%|████████  | 121/150 [00:28<00:06,  4.22it/s, loss=0.616, v_num=3l99]















Epoch 33:  81%|████████▏ | 122/150 [00:28<00:06,  4.25it/s, loss=0.611, v_num=3l99]















Epoch 34:  86%|████████▌ | 129/150 [00:29<00:04,  4.38it/s, loss=0.61, v_num=3l99]















